Name,# of Reviews,Rating,Price,Cuisine,Neighbourhood,Price_,New_Price
Saku Sushi,481,4.0,2,American,Alexandra Park,1.7857142857142858,2.0
Mengrai Thai,274,4.0,2,Asian,Corktown,2.2857142857142856,2.0
Napoli Centrale,59,4.5,2,European,Seaton Village,,2.0
Le Plato,6,4.0,0,African,Greektown,1.8571428571428572,2.0
Guu Izakaya Toronto,126,4.0,2,Asian,Parkdale,1.7692307692307692,2.0
Nando’s,59,3.5,2,African,Niagara,2.3333333333333335,2.0
Kingyo Izakaya,329,4.0,2,Asian,Cabbagetown,2.2,2.0
The Burger’s Priest,68,3.5,2,American,Downtown Core,2.1016949152542375,2.0
The Caledonian,138,4.5,2,American,Dufferin Grove,2.5,2.0
Madras Masala,145,4.0,2,Asian,Christie Pits,,2.0
Canoe,668,4.0,4,American,Financial District,,4.0
Athens Restaurant,82,4.0,2,European,Greektown,1.8571428571428572,2.0
Lucy Ethiopian Kitchen,58,4.5,2,African,The Danforth,1.9285714285714286,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Pizzeria Libretto,537,4.0,2,American,Ossington Strip,2.217391304347826,2.0
Nomads Restobar,12,4.5,0,American,Riverdale,2.0,2.0
Frankie’s,23,3.5,0,European,Leslieville,2.0,2.0
Good Hombres,68,4.5,0,Mexican,Little Italy,2.272727272727273,2.0
La Chingada,43,4.0,0,Mexican,Little Portugal,2.4285714285714284,2.0
La Carnita,379,3.5,2,Mexican,Entertainment District,2.4727272727272727,2.0
416 Snack Bar,320,4.0,2,European,Alexandra Park,1.7857142857142858,2.0
Alo Restaurant,287,4.5,4,American,Queen Street West,2.25,4.0
ZIBA Berlin Döner,35,4.0,2,Middle Eastern,Leslieville,2.0,2.0
Beast Restaurant,406,4.0,2,American,Niagara,2.3333333333333335,2.0
Gordo EX Cafe,37,4.0,2,South American,Seaton Village,,2.0
Yasu,357,4.5,4,Asian,Entertainment District,2.4727272727272727,4.0
Jatujak,350,4.0,2,Other,Scarborough,1.7777777777777777,2.0
Demen Bistro,41,4.5,2,Asian,Alexandra Park,1.7857142857142858,2.0
Ha Gow Dim Sum House,101,4.0,1,Asian,The Danforth,1.9285714285714286,1.0
Thindi,11,5.0,0,Asian,Ryerson,1.8,2.0
Guu Izakaya Toronto,126,4.0,2,Asian,Parkdale,1.7692307692307692,2.0
CANO Restaurant,38,4.5,2,European,Corso Italia,2.1666666666666665,2.0
Honest Weight,123,4.5,2,American,The Junction,2.0,2.0
Rickshaw Bar,105,4.0,2,European,Niagara,2.3333333333333335,2.0
VOS Restaurante Argentino,24,4.5,0,South American,Dufferin Grove,2.5,2.0
32 Chicken St.,25,4.5,2,Asian,Kensington Market,1.7777777777777777,2.0
Zaad,36,4.0,2,Middle Eastern,The Annex,2.3703703703703702,2.0
The Annex Food Hall,40,4.0,2,American,The Annex,2.3703703703703702,2.0
The Daily Dumpling Wonton Co,30,4.0,0,Asian,Bickford Park,2.2857142857142856,2.0
Aztec’s Mine,88,4.0,2,Mexican,High Park,,2.0
Oyster Boy,179,4.0,3,American,West Queen West,2.125,3.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Super Point,92,3.5,2,American,Ossington Strip,2.217391304347826,2.0
Uncle Mikey’s,42,4.5,2,Asian,Brockton Village,1.8333333333333333,2.0
Canoe,668,4.0,4,American,Financial District,,4.0
